code,name,num,prior,dem,rep
AL,Alabama,1,-5,Jones,Tuberville
AK,Alaska,2,-10,Gross,Sullivan
AZ,Arizona,3,0,Kelly,McSally
CO,Colorado,4,0,Hickenlooper,Gardner
GA,Georgia,5,-10,Ossoff,Perdue
GS,Georgia-Special,6,-5,,
IA,Iowa,7,-5,Greenfield,Ernst
KS,Kansas,8,-5,Bollier,Marshall
KY,Kentucky,9,-10,McGrath,McConnell
ME,Maine,10,0,Gideon,Collins
MI,Michigan,11,5,Peters,James
MN,Minnesota,12,10,Smith,Lewis
MT,Montana,13,-5,Bullock,Daines
NH,New Hampshire,14,10,Shaheen,Ayotte
NM,New Mexico,15,10,Lujan,Clarkson
NC,North Carolina,16,0,Cunningham,Tillis
SC,South Carolina,17,-10,Harrison,Graham
TX,Texas,18,-10,Hegar,Cornyn
MS,Mississippi,19,-7,Espy,Hyde-Smith

